IDATE,LAT,LON,ELEVATION_m,ACRES,PPT_mm,TMIN_c,TMEAN_c,TMAX_c,TDMEAN_c,VPDMIN_hpa,VPDMAX_hpa,lfmc_mean,lfmc_stdv,Mean_Sea_Level_Pressure,Mean_Station_Pressure,Mean_Wind_Speed,Maximum_Sustained_Wind_Speed,NAMELSAD,population
2012-03-03 00:00:00,34.3006,-118.2778,694,0.1,0,5.4,11.7,18,-15.4,3.36,19.65,133.045,21.003832,1023.9,979.9,4.8,11.5,Los Angeles County,7416397
2012-03-04 00:00:00,34.5072,-118.3872,750,0.1,0,6.8,14.8,22.8,-15.9,8.24,25.98,7.2825,7.460023,1022.7,955.8,4.6,10.2,Los Angeles County,7416397
2012-03-05 00:00:00,40.0661,-120.6806,1517,12.2,0,-0.2,8.7,17.7,-6.1,2.34,16.21,116.49,26.112888,1018.4,881.4,4.3,12.8,Plumas County,16406
2012-03-09 00:00:00,34.5317,-119.7539,486,10,0,4.8,14.1,23.5,-13.2,6.5,25.5,51.025,19.268883,1023.3,1014.7,5,13.4,Santa Barbara County,325848
2012-03-10 00:00:00,39.0169,-120.7356,651,3,0,5.7,13.5,21.3,-2.7,4.43,19.35,100.05,16.904333,1017.8,931.4,5.5,13.6,Placer County,263347
2012-03-11 00:00:00,34.5419,-118.3369,979,6,0,6.2,14.8,23.4,-7.8,4.23,27.61,54.9525,12.766381,1014.1,986.4,7.5,14.3,Los Angeles County,7416397
2012-03-12 00:00:00,40.7458,-121.4714,1131,0.1,0,-2.6,2.1,6.7,-1.9,0,4.46,111.975,24.986124,1012.2,865.8,10.6,24.3,Shasta County,137571
2012-03-13 00:00:00,34.2428,-118.1903,985,0.1,0,5.2,10.7,16.2,0.2,1.81,10.94,144.2725,22.443283,1016.1,990.9,5.2,11.7,Los Angeles County,7416397
2012-03-18 00:00:00,36.2553,-121.6694,677,0.1,21.06,0.1,2.8,5.4,0.9,0.16,1.53,122.105,35.315975,1010.7,1006.5,10.1,19.3,Monterey County,304044
2012-03-21 00:00:00,34.0375,-114.4542,110,0.2,0,4.7,13.8,22.8,-2.7,2.57,21.82,60.435,20.228811,1017.2,980.4,3.5,8.3,Riverside County,1569533
2012-03-22 00:00:00,33.3281,-116.8336,1404,2,0,3.4,11.2,19.1,-0.1,2.18,15.86,72.355,11.494954,1013,987.9,3.2,9.8,San Diego County,2371145
2012-03-24 00:00:00,34.3536,-117.5306,1317,0.1,0,3.9,11.3,18.8,-0.8,0.99,15.1,55.535,13.169255,1013.3,977.1,4.8,12.8,San Bernardino County,1440622
2012-03-26 00:00:00,41.0753,-123.6803,417,0.1,2.76,1.6,6.7,11.7,1.9,0.2,6.24,139.3175,0.40736195,1012.4,923.7,7,17.6,Humboldt County,107562
2012-03-28 00:00:00,32.7052,-116.3608,1239,0.1,0,-1.9,7.4,16.8,-0.6,0.17,12.07,137.67,57.36186,1016.3,998,3.8,10.6,San Diego County,2371145
2012-03-30 00:00:00,33.252,-116.9646,386,0.1,0,6.9,14.5,22.1,8.3,0.28,14.27,56.915,13.374389,1014.6,993.1,3.3,10.4,San Diego County,2371145
2012-03-31 00:00:00,34.2381,-116.9633,2132,0,0,-0.3,10.1,20.6,-6.4,1.58,21.2,294.315,43.93857,1011.7,971.5,7.3,20.6,San Bernardino County,1440622
2012-04-02 00:00:00,32.7483,-114.5875,41,143,0,12.9,18.4,24,-2,8.28,23.89,233.5775,37.479145,1012.4,990.9,10.6,17.4,Imperial County,123430
2012-04-02 00:00:00,34.1886,-117.6783,1309,0.1,0,-0.2,6.7,13.6,-3,0.38,10.78,122.655,19.491676,1016,975.7,6.8,16.8,Los Angeles County,7416397
2012-04-02 00:00:00,34.1908,-117.6794,1309,0.1,0,-0.2,6.7,13.6,-3,0.38,10.78,267.545,29.636051,1016,975.5,6.8,16.8,Los Angeles County,7416397
2012-04-02 00:00:00,34.5347,-118.3661,978,0.1,0,2.3,6.7,11.2,-3.2,1.11,8.35,47.695,15.617793,1017.7,949.9,8.1,17.8,Los Angeles County,7416397
2012-04-03 00:00:00,33.3906,-116.8233,1444,14,0,1.2,8.5,15.8,-8.7,4.01,15.05,105.0025,18.864244,1013.5,987.7,3.9,11,San Diego County,2371145
2012-04-03 00:00:00,33.585,-116.4575,1262,0.1,0,3.4,10.6,17.9,-9.3,4.74,17.24,60.6775,20.93691,1013,978.8,4.3,11.2,Riverside County,1569533
2012-04-04 00:00:00,34.2856,-118.2217,844,0.1,0,9.7,16.5,23.3,-6,6.69,23.88,211.0575,40.57803,1013.4,988.8,6.4,14.1,Los Angeles County,7416397
2012-04-06 00:00:00,33.8106,-116.7486,1721,0.1,0,-3,5.7,14.5,-9.2,1.36,15.33,274.8025,21.492144,1014.4,994.2,8.4,18.9,Riverside County,1569533
2012-04-07 00:00:00,34.2364,-117.8417,725,0.1,0,3.6,12.3,20.9,-9.7,3.5,21.68,187.445,36.71039,1017.2,975,3.2,11.1,Los Angeles County,7416397
2012-04-08 00:00:00,34.1681,-116.7022,2539,0.1,0,-4.3,4.2,12.8,-19.1,3.54,14.23,137.73,28.409235,1015.9,972.3,4.2,10.5,San Bernardino County,1440622
